title,category,ingredients
Oatmeal,Breakfast,"oats, milk, banana, honey, chia seeds, cinnamon"
Pancakes,Breakfast,"flour, baking powder, milk, egg, butter, maple syrup, sugar, salt"
Scrambled Eggs,Breakfast,"eggs, butter, salt, pepper, chives, milk"
French Toast,Breakfast,"bread slices, egg, milk, cinnamon, vanilla extract, butter, syrup"
Bacon and Eggs,Breakfast,"bacon, eggs, bread toast, butter, pepper"
Avocado Toast,Breakfast,"avocado, bread, lemon juice, salt, pepper, chili flakes, olive oil"
Veggie Omelette,Breakfast,"eggs, milk, salt, pepper, butter, onion, tomato, bell pepper, spinach, cheese"
Masala Dosa,Breakfast,"rice, urad dal, potato, onions, mustard seeds, curry leaves, ginger, turmeric"
Quinoa Salad,Breakfast,"quinoa, cucumber, tomato, carrot, feta cheese, parsley, lemon juice, olive oil"
Lentil Soup,Breakfast,"lentils, onion, garlic, carrot, tomato, cumin, turmeric, pepper, coriander"
Waffles,Breakfast,"flour, baking powder, sugar, egg, milk, melted butter, vanilla extract"
Fruit Salad,Breakfast,"melon, grapes, strawberries, blueberries, honey, mint leaves, lime juice"
Chia Pudding,Breakfast,"chia seeds, almond milk, honey, vanilla extract, raspberries"
Egg Muffins,Breakfast,"eggs, spinach, bacon bits, cheddar cheese, salt, pepper, garlic powder"
Breakfast Burrito,Breakfast,"tortilla, scrambled eggs, black beans, cheddar cheese, salsa, avocado"
Green Smoothie,Breakfast,"spinach, kale, banana, green apple, almond milk, honey, protein powder"
Crepes,Breakfast,"flour, eggs, milk, water, butter, sugar, vanilla, strawberries, chocolate spread"
Hash Browns,Breakfast,"potatoes, butter, oil, salt, pepper, onion powder"
Breakfast Parfait,Breakfast,"greek yogurt, granola, honey, mixed berries, almonds"
Bagel and Lox,Breakfast,"bagel, cream cheese, smoked salmon, red onion, capers, dill"
Idli,Breakfast,"rice, urad dal, salt, fenugreek seeds, water"
Upma,Breakfast,"semolina, mustard seeds, curry leaves, onion, ginger, green chilies, cashews, ghee"
Poha,Breakfast,"flattened rice, peanuts, mustard seeds, turmeric, onion, green chilies, coriander"
Aloo Paratha,Breakfast,"wheat flour, potatoes, green chilies, ginger, garam masala, butter, yogurt"
Chilli Potato,Snacks & Fast Foods,"potatoes, cornflour, chili sauce, soy sauce, garlic, onion, spring onion, oil"
Garlic Cheese Bread,Snacks & Fast Foods,"bread, garlic cloves, butter, mozzarella cheese, parsley, oregano"
Corn Fritters,Snacks & Fast Foods,"corn kernels, flour, egg, milk, baking powder, green onions, chili flakes, oil"
Chicken Nuggets,Snacks & Fast Foods,"chicken breast, flour, egg, breadcrumbs, oil, garlic powder, onion powder"
French Fries,Snacks & Fast Foods,"potatoes, vegetable oil, salt, paprika, garlic salt"
Nachos,Snacks & Fast Foods,"tortilla chips, cheddar cheese, jalapenos, salsa, sour cream, black beans, guacamole"
Onion Rings,Snacks & Fast Foods,"onions, flour, baking powder, egg, beer, breadcrumbs, oil, salt"
Mozzarella Sticks,Snacks & Fast Foods,"mozzarella cheese, flour, eggs, breadcrumbs, italian seasoning, marinara sauce"
Chicken Quesadilla,Snacks & Fast Foods,"tortilla, cheddar cheese, chicken breast, bell pepper, onion, taco seasoning"
Popcorn,Snacks & Fast Foods,"popcorn corn kernels, butter, salt, coconut oil"
Spring Rolls,Snacks & Fast Foods,"cabbage, carrot, wrapper sheet, soy sauce, garlic, ginger, sesame oil, frying oil"
Potato Chips,Snacks & Fast Foods,"potatoes, canola oil, salt, vinegar, barbecue seasoning"
Buffalo Chicken Wings,Snacks & Fast Foods,"chicken wings, hot sauce, butter, garlic powder, blue cheese dip"
Slider Burgers,Snacks & Fast Foods,"beef patty, mini buns, cheddar cheese, pickles, mustard, ketchup"
Pizza Slices,Snacks & Fast Foods,"dough, tomato sauce, mozzarella cheese, pepperoni, basil, olive oil"
Garlic Knots,Snacks & Fast Foods,"pizza dough, garlic, butter, parsley, parmesan cheese"
Bruschetta,Snacks & Fast Foods,"french baguette, tomatoes, garlic, fresh basil, olive oil, balsamic glaze"
Samosa,Snacks & Fast Foods,"flour, potatoes, green peas, green chilies, coriander seeds, garam masala, oil"
Pakora,Snacks & Fast Foods,"gram flour, onion, spinach, green chilies, ajwain, turmeric, oil"
Pav Bhaji,Snacks & Fast Foods,"potatoes, cauliflower, peas, onion, tomato, pav bhaji masala, butter, buns"
Fish and Chips,Snacks & Fast Foods,"cod fish, flour, baking powder, beer, potatoes, tartar sauce, oil"
Tacos,Snacks & Fast Foods,"taco shells, ground beef, lettuce, cheese, tomatoes, sour cream, taco seasoning"
Spring Onion Pancakes,Snacks & Fast Foods,"flour, hot water, sesame oil, spring onions, salt, dipping sauce"
Chicken Skewers,Snacks & Fast Foods,"chicken breast, yogurt, garlic, lemon juice, paprika, cumin, olive oil"
Black Forest Cake,Desserts,"flour, sugar, cocoa powder, milk, baking powder, baking soda, cherries, whipping cream, chocolate"
Chocolate Lava Cake,Desserts,"dark chocolate, butter, sugar, eggs, flour, vanilla extract, powdered sugar"
Donuts,Desserts,"flour, sugar, yeast, milk, butter, glaze, sprinkles, frying oil"
Kheer,Desserts,"rice, milk, sugar, cardamom pods, cashews, almonds, ghee, saffron"
Chocolate Chip Cookies,Desserts,"flour, butter, white sugar, brown sugar, egg, vanilla, baking soda, chocolate chips"
Fudge Brownies,Desserts,"butter, sugar, cocoa powder, eggs, flour, chocolate chunks, vanilla, salt"
Apple Pie,Desserts,"apples, flour, butter, sugar, brown sugar, cinnamon, nutmeg, pie crust"
Cheesecake,Desserts,"cream cheese, sugar, eggs, sour cream, vanilla extract, graham crackers, butter"
Strawberry Ice Cream,Desserts,"heavy cream, whole milk, sugar, fresh strawberries, vanilla extract"
Panna Cotta,Desserts,"heavy cream, milk, sugar, gelatin powder, vanilla bean, raspberry puree"
Crème Brûlée,Desserts,"heavy cream, egg yolks, sugar, vanilla bean, hot water"
Tiramisu,Desserts,"ladyfinger cookies, espresso coffee, mascarpone cheese, sugar, egg yolks, cocoa powder"
Macarons,Desserts,"almond flour, powdered sugar, egg whites, cream of tartar, vanilla, chocolate ganache"
Lemon Tart,Desserts,"pastry crust, butter, sugar, lemon juice, lemon zest, eggs"
Chocolate Mousse,Desserts,"dark chocolate, heavy whipping cream, eggs, sugar, vanilla"
Rice Pudding,Desserts,"cooked rice, milk, sugar, cinnamon, vanilla extract, raisins"
Baklava,Desserts,"phyllo dough, walnuts, butter, sugar, honey, cinnamon, lemon juice"
Cinnamon Rolls,Desserts,"flour, milk, yeast, butter, sugar, brown sugar, cinnamon, cream cheese"
Carrot Cake,Desserts,"flour, sugar, oil, eggs, grated carrots, walnuts, cinnamon, cream cheese frosting"
Red Velvet Cupcakes,Desserts,"flour, sugar, cocoa powder, buttermilk, butter, vinegar, red food coloring, cream cheese"
Gulab Jamun,Desserts,"milk powder, flour, ghee, milk, baking soda, sugar syrup, rose water, cardamom"
Chocolate Truffles,Desserts,"dark chocolate, heavy cream, butter, cocoa powder, vanilla"
Banana Bread,Desserts,"bananas, flour, butter, sugar, egg, vanilla, baking soda, cinnamon"
Mango Pudding,Desserts,"mango pulp, gelatin, sugar, hot water, evaporated milk"
Masala Chai,Drinks,"black tea leaves, milk, ginger, cardamom, cinnamon, cloves, water, sugar"
Lemon Iced Tea,Drinks,"tea bags, water, lemon juice, sugar, ice cubes, mint leaves"
Mango Smoothie,Drinks,"mango cubes, greek yogurt, milk, honey, ice"
Cappuccino,Drinks,"espresso, steamed milk, frothed milk, cocoa powder"
Hot Chocolate,Drinks,"whole milk, cocoa powder, sugar, chocolate chips, vanilla, marshmallows"
Classic Mojito,Drinks,"lime wedges, mint leaves, sugar, soda water, white rum, crushed ice"
Piña Colada,Drinks,"pineapple juice, coconut cream, white rum, crushed ice, pineapple slice"
Classic Margarita,Drinks,"lime juice, tequila, triple sec liqueur, salt for rim, ice"
Strawberry Milkshake,Drinks,"milk, vanilla ice cream, fresh strawberries, sugar, whipped cream"
Green Tea,Drinks,"green tea leaves, hot water, honey, lemon slice"
Lemonade,Drinks,"lemon juice, cold water, sugar, mint leaves, lemon slices"
Iced Coffee,Drinks,"brewed coffee, milk, sugar, ice cubes, vanilla syrup"
Banana Smoothie,Drinks,"banana, milk, honey, oats, peanut butter, yogurt"
Berry Blast,Drinks,"blueberries, raspberries, strawberries, yogurt, apple juice, honey"
Hot Toddy,Drinks,"whiskey, honey, lemon juice, hot water, cinnamon stick"
Cold Brew Coffee,Drinks,"coarsely ground coffee, cold water, milk, ice"
Mango Lassi,Drinks,"mango pulp, yogurt, milk, sugar, cardamom powder"
Smoothie Bowl,Drinks,"frozen berries, banana, almond milk, granola, chia seeds, coconut flakes"
Ginger Ale,Drinks,"ginger juice, lemon juice, simple syrup, club soda, ice"
Matcha Latte,Drinks,"matcha green tea powder, hot water, steamed milk, honey"
Hot Apple Cider,Drinks,"apple juice, cinnamon sticks, cloves, orange peel, nutmeg"
Dirty Chai,Drinks,"black tea, chai spices, milk, espresso shot, honey"
Lassi,Drinks,"yogurt, water, salt, roasted cumin powder, mint leaves"
Espresso Martini,Drinks,"espresso, vodka, kahlua coffee liqueur, simple syrup, coffee beans"
